model,prompt_idx,zero_shot_correct,majority_correct,agreement
llama-3.1-8b-instant,28,0.0,0.0,0.3333333333333333
llama-3.1-8b-instant,33,0.0,0.0,0.3333333333333333
llama-3.1-8b-instant,142,0.0,0.0,0.25
llama-3.1-8b-instant,240,0.0,0.0,0.6666666666666666
llama-3.1-8b-instant,270,0.0,0.0,0.4
llama-3.1-8b-instant,295,0.0,0.0,0.1666666666666666
llama-3.1-8b-instant,772,0.0,0.0,0.5
llama-3.1-8b-instant,1125,0.0,0.0,0.2
llama-3.1-8b-instant,1193,0.0,0.0,0.2
llama-3.1-8b-instant,1254,0.0,0.0,0.25
llama-3.1-8b-instant,1826,0.0,0.0,0.5
llama-3.1-8b-instant,1851,0.0,0.0,0.25
llama-3.1-8b-instant,2065,0.0,0.0,0.5
llama-3.1-8b-instant,2074,0.0,0.0,0.0
llama-3.1-8b-instant,2132,1.0,0.0,0.25
llama-3.1-8b-instant,2232,0.0,0.0,0.125
llama-3.1-8b-instant,2269,0.0,0.0,0.2
llama-3.1-8b-instant,2818,0.0,0.0,0.2857142857142857
llama-3.1-8b-instant,2987,0.0,1.0,0.1666666666666666
llama-3.1-8b-instant,3099,0.0,0.0,0.5
qwen2.5-32b,28,0.0,0.0,0.625
qwen2.5-32b,33,0.0,1.0,0.75
qwen2.5-32b,142,0.0,0.0,0.25
qwen2.5-32b,240,1.0,1.0,0.875
qwen2.5-32b,270,1.0,1.0,1.0
qwen2.5-32b,295,1.0,0.0,0.5
qwen2.5-32b,772,0.0,0.0,0.7142857142857143
qwen2.5-32b,1125,1.0,1.0,0.375
qwen2.5-32b,1193,0.0,0.0,0.125
qwen2.5-32b,1254,0.0,0.0,0.25
qwen2.5-32b,1826,0.0,0.0,0.375
qwen2.5-32b,1851,0.0,1.0,0.375
qwen2.5-32b,2065,0.0,1.0,0.5
qwen2.5-32b,2074,0.0,0.0,0.625
qwen2.5-32b,2132,0.0,0.0,0.375
qwen2.5-32b,2232,0.0,1.0,0.75
qwen2.5-32b,2269,0.0,0.0,0.125
qwen2.5-32b,2818,0.0,1.0,0.5
qwen2.5-32b,2987,1.0,1.0,1.0
qwen2.5-32b,3099,0.0,0.0,0.5
openai/gpt-oss-20b,28,0.0,0.0,0.0
openai/gpt-oss-20b,33,0.0,0.0,0.0
openai/gpt-oss-20b,142,0.0,0.0,0.0
openai/gpt-oss-20b,240,0.0,0.0,0.0
meta-llama/llama-4-scout-17b-16e-instruct,28,0.0,0.0,0.375
meta-llama/llama-4-scout-17b-16e-instruct,33,0.0,0.0,0.25
meta-llama/llama-4-scout-17b-16e-instruct,142,0.0,0.0,0.625
meta-llama/llama-4-scout-17b-16e-instruct,240,1.0,0.0,1.0
meta-llama/llama-4-scout-17b-16e-instruct,270,1.0,1.0,0.875
meta-llama/llama-4-scout-17b-16e-instruct,295,0.0,0.0,1.0
meta-llama/llama-4-scout-17b-16e-instruct,772,1.0,1.0,1.0
meta-llama/llama-4-scout-17b-16e-instruct,1125,1.0,1.0,0.375
meta-llama/llama-4-scout-17b-16e-instruct,1193,0.0,0.0,0.625
meta-llama/llama-4-scout-17b-16e-instruct,1254,0.0,0.0,0.5
meta-llama/llama-4-scout-17b-16e-instruct,1826,0.0,0.0,0.875
meta-llama/llama-4-scout-17b-16e-instruct,1851,1.0,1.0,1.0
meta-llama/llama-4-scout-17b-16e-instruct,2065,1.0,1.0,0.5
meta-llama/llama-4-scout-17b-16e-instruct,2074,0.0,0.0,0.875
meta-llama/llama-4-scout-17b-16e-instruct,2132,0.0,0.0,0.75
meta-llama/llama-4-scout-17b-16e-instruct,2232,0.0,0.0,0.75
meta-llama/llama-4-scout-17b-16e-instruct,2269,0.0,0.0,0.25
meta-llama/llama-4-scout-17b-16e-instruct,2818,1.0,1.0,0.5
meta-llama/llama-4-scout-17b-16e-instruct,2987,1.0,1.0,1.0
meta-llama/llama-4-scout-17b-16e-instruct,3099,0.0,1.0,0.375
llama-3.3-70b-versatile,28,0.0,0.0,0.75
llama-3.3-70b-versatile,33,1.0,0.0,0.5
llama-3.3-70b-versatile,142,0.0,0.0,0.875
llama-3.3-70b-versatile,240,1.0,1.0,0.75
llama-3.3-70b-versatile,270,1.0,1.0,0.625
llama-3.3-70b-versatile,295,0.0,0.0,0.375
llama-3.3-70b-versatile,772,1.0,1.0,0.625
qwen/qwen3-32b,28,0.0,0.0,0.0
qwen/qwen3-32b,33,0.0,0.0,0.0
qwen/qwen3-32b,142,0.0,0.0,0.0
qwen/qwen3-32b,240,0.0,0.0,0.0
qwen/qwen3-32b,270,0.0,0.0,0.0
o4-mini,28,1.0,1.0,0.75
o4-mini,33,0.0,0.0,0.6666666666666666
o4-mini,142,1.0,1.0,0.8125
o4-mini,240,1.0,1.0,0.7692307692307693
o4-mini,270,1.0,1.0,1.0
o4-mini,295,1.0,1.0,0.625
o4-mini,772,1.0,1.0,1.0
o4-mini,1125,1.0,1.0,1.0
o4-mini,1193,1.0,1.0,0.8125
o4-mini,1254,1.0,1.0,0.9375
o4-mini,1826,1.0,1.0,1.0
o4-mini,1851,1.0,1.0,1.0
o4-mini,2065,1.0,1.0,1.0
o4-mini,2074,1.0,1.0,1.0
o4-mini,2132,1.0,1.0,0.9333333333333333
o4-mini,2232,1.0,1.0,0.9375
o4-mini,2269,0.0,1.0,1.0
o4-mini,2818,1.0,1.0,1.0
o4-mini,2987,1.0,1.0,1.0
o4-mini,3099,1.0,1.0,1.0
